2024-05-17 07:01:57

Description 
===========





IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	C1	C2	C3	C4	IT
12.1	0.008	0.003	0.001	0.002	0	0	0	0	200.0
12.2	0.003	0.003	0.003	0.004	0	0	0	0	200.0
12.3	0.004	0.002	0.002	0.003	0	0	0	0	200.0
12.4	0.004	0.004	0.002	0.003	0	0	0	0	200.0
12.5	0.002	0.002	0.002	0.001	0	0	0	0	200.0
12.6	0.002	0.002	0.002	0.001	0	0	0	0	200.0
12.7	0.001	0.004	0.002	0.005	0	0	0	0	200.0
12.8	0.003	0.005	0.001	0.002	0	0	0	0	200.0
12.9	0.003	0.002	0.003	0.004	0	0	0	0	200.0
13.0	0.003	0.004	0.002	0.005	0	0	0	0	200.0
13.1	0.004	0.006	0.001	0.003	0	0	0	0	200.0
13.2	0.004	0.003	0.003	0.003	0	0	0	0	200.0
13.3	0.005	0.002	0.0	0.004	0	0	0	0	200.0
13.4	0.002	0.001	0.003	0.004	0	0	0	0	200.0
13.5	0.004	0.003	0.005	0.006	0	1	0	0	200.0
13.6	0.004	0.003	0.002	0.005	0	0	0	0	200.0
13.7	0.005	0.005	0.003	0.002	0	0	0	0	200.0
13.8	0.005	0.005	0.003	0.004	0	0	0	0	200.0
13.9	0.004	0.004	0.002	0.003	0	0	0	0	200.0
14.0	0.003	0.003	0.001	0.005	0	0	0	0	200.0
14.1	0.003	0.003	0.001	0.002	0	0	0	0	200.0
14.2	0.005	0.005	0.003	0.004	0	0	0	0	200.0
14.3	0.002	0.004	0.002	0.003	0	0	0	0	200.0
14.4	0.005	0.005	0.003	0.001	0	0	0	0	200.0
14.5	0.005	0.005	0.003	0.001	0	0	0	0	200.0
14.6	0.003	0.004	0.002	0.003	0	0	0	0	200.0
14.7	0.004	0.001	0.004	0.006	0	0	0	0	200.0
14.8	0.004	0.005	0.001	0.003	0	0	0	0	200.0
14.9	0.005	0.004	0.0	0.002	0	0	0	0	200.0
15.0	0.008	0.004	0.005	0.002	0	0	0	0	200.0
15.1	0.007	0.006	0.005	0.006	0	0	0	0	200.0
15.2	0.003	0.005	0.001	0.005	0	0	0	0	200.0
15.3	0.005	0.004	0.001	0.004	0	0	0	0	200.0
15.4	0.002	0.007	0.002	0.003	0	0	0	0	200.0
15.5	0.006	0.004	0.002	0.003	0	0	0	0	200.0
15.6	0.006	0.003	0.001	0.005	0	0	0	0	200.0
15.7	0.005	0.002	0.003	0.006	0	0	0	0	200.0
15.8	0.007	0.002	0.003	0.001	0	0	0	0	200.0
15.9	0.004	0.004	0.004	0.005	0	0	0	0	200.0
16.0	0.005	0.005	0.003	0.004	0	0	0	0	200.0
16.1	0.004	0.004	0.002	0.003	0	0	0	0	200.0
16.2	0.005	0.004	0.004	0.005	0	0	0	0	200.0
16.3	0.004	0.006	0.001	0.005	0	0	0	0	200.0
16.4	0.006	0.005	0.001	0.005	0	0	0	0	200.0
16.5	0.005	0.004	0.002	0.002	0	0	0	0	200.0
16.6	0.005	0.004	0.002	0.004	0	0	0	0	200.0
16.7	0.009	0.003	0.005	0.006	0	0	0	0	200.0
16.8	0.003	0.005	0.006	0.007	0	0	0	0	200.0
16.9	0.005	0.007	0.006	0.004	0	0	0	0	200.0
17.0	0.004	0.003	0.005	0.006	1	0	0	0	200.0
17.1	0.004	0.006	0.007	0.005	0	0	0	0	200.0
17.2	0.006	0.006	0.004	0.005	0	0	0	0	200.0
17.3	0.005	0.005	0.003	0.009	0	0	0	0	200.0
17.4	0.005	0.005	0.005	0.009	0	0	0	0	200.0
17.5	0.006	0.004	0.004	0.007	0	0	0	0	200.0
17.6	0.003	0.003	0.003	0.004	0	0	0	0	200.0
17.7	0.005	0.005	0.006	0.004	0	0	0	0	200.0
17.8	0.004	0.004	0.004	0.003	0	0	0	0	200.0
17.9	0.004	0.006	0.004	0.005	0	0	0	0	200.0
18.0	0.004	0.005	0.003	0.004	0	0	0	0	200.0
18.1	0.008	0.005	0.005	0.005	0	0	0	0	200.0
18.2	0.005	0.004	0.002	0.004	0	0	0	0	200.0
18.3	0.004	0.005	0.003	0.003	0	0	0	0	200.0
18.4	0.006	0.002	0.004	0.005	0	0	0	0	200.0
18.5	0.005	0.007	0.008	0.004	0	0	0	0	200.0
18.6	0.007	0.006	0.005	0.006	0	0	0	0	200.0
18.7	0.007	0.007	0.007	0.006	0	0	0	0	200.0
18.8	0.006	0.006	0.007	0.005	0	0	0	0	200.0
18.9	0.005	0.005	0.005	0.004	0	0	0	0	200.0
19.0	0.007	0.01	0.003	0.009	0	0	0	0	200.0
19.1	0.003	0.005	0.006	0.004	0	0	0	0	200.0
19.2	0.005	0.005	0.006	0.007	0	0	0	0	200.0
19.3	0.005	0.007	0.003	0.004	0	0	0	0	200.0
19.4	0.004	0.004	0.004	0.003	0	0	0	0	200.0
19.5	0.008	0.006	0.004	0.005	0	0	0	0	200.0
19.6	0.005	0.004	0.002	0.003	0	0	0	0	200.0
19.7	0.008	0.004	0.005	0.007	0	0	0	0	200.0
19.8	0.005	0.006	0.002	0.006	0	0	0	0	200.0
19.9	0.005	0.006	0.004	0.006	0	0	0	0	200.0
20.0	0.006	0.005	0.005	0.007	0	0	0	0	200.0
20.1	0.008	0.004	0.006	0.007	0	0	0	0	200.0
20.2	0.007	0.006	0.005	0.006	0	0	0	0	200.0
20.3	0.006	0.005	0.004	0.008	0	0	0	0	200.0
20.4	0.006	0.008	0.006	0.007	0	0	0	0	200.0
20.5	0.005	0.005	0.005	0.006	0	0	0	0	200.0
